x,y,p,u,v
0.1539751142,0.18050237,3.485162973,0.0,0.0
0.153367281,0.1819850951,3.541257143,0.0,0.0
0.1528143883,0.1834891737,3.595095396,0.0,0.0
0.1523149014,0.1850118041,3.643956184,0.0,0.0
0.1518510282,0.18654567,3.688672304,0.0,0.0
0.1514473557,0.1880964786,3.730275393,0.0,0.0
0.1510952711,0.1896597892,3.765990257,0.0,0.0
0.1507817209,0.1912312806,3.796857834,0.0,0.0
0.1505271345,0.1928134114,3.82390976,0.0,0.0
0.1503275782,0.19440341,3.845106125,0.0,0.0
0.1501691788,0.1959980279,3.86052227,0.0,0.0
0.1500614434,0.1975968778,3.871332884,0.0,0.0
0.1500178725,0.1991987526,3.877429724,0.0,0.0
0.2466327101,0.1819850951,0.3891238868,0.0,0.0
0.2460248917,0.18050237,0.3842572868,0.0,0.0
0.2453844249,0.1790334433,0.3797409832,0.0,0.0
0.2446844876,0.1775919199,0.3753584623,0.0,0.0
0.2439401448,0.1761728078,0.3707846403,0.0,0.0
0.2431660444,0.1747697145,0.3675047457,0.0,0.0
0.2423236966,0.1734064817,0.3645131588,0.0,0.0
0.2414510101,0.1720624864,0.3612450361,0.0,0.0
0.2405399829,0.1707441807,0.3593052328,0.0,0.0
0.2395731211,0.1694662422,0.357904166,0.0,0.0
0.2385806441,0.1682081074,0.3573618531,0.0,0.0
0.2375387996,0.1669905484,0.3578132093,0.0,0.0
0.2364587486,0.1658067256,0.3591300845,0.0,0.0
0.2353553325,0.1646446586,0.3622856438,0.0,0.0
0.2341932654,0.1635412425,0.3653966486,0.0,0.0
0.2330094427,0.1624611914,0.3688051403,0.0,0.0
0.2317918837,0.1614193469,0.3744134009,0.0,0.0
0.230533734,0.16042687,0.3812589049,0.0,0.0
0.2292558104,0.1594600081,0.390206039,0.0,0.0
0.2279375046,0.158548981,0.4006432593,0.0,0.0
0.2265935093,0.1576762944,0.4115898907,0.0,0.0
0.2252302766,0.1568339467,0.4265551269,0.0,0.0
0.2238271832,0.1560598463,0.4431248903,0.0,0.0
