Metric,Continuous,Passive,Active
Final Loss,0.201784148812294,0.20455984771251678,0.21376602351665497
Training Time (s),40.082688331604004,20.076053380966187,20.214268445968628
Active Steps,3000,1500,1500
Duty Cycle (%),1.0,0.5,0.5
Total Clusters,4,4,4
Operations/Inference,2252,2252,2252
TOPS Required,1.3512e-07,1.3512e-07,1.3512e-07
Memory (KB),9.3125,9.3125,9.3125
Power (mW),0.07683350400000001,0.07683350400000001,0.07683350400000001
Top Platform,Jetson Orin Nano,Jetson Orin Nano,Jetson Orin Nano
Platform Cost ($),219,219,219
